Pair.Name,Ligand,Receptor,Dataset,Annotation,Location  Ligand,GO,References,Julia TRUE/FALSE/NA,Julia literature reference,Julia comment,checked,,,,,,,,,,,,,
Sema3d-Nrp1,Sema3d,Nrp1,Ramilowski,Correct,Secreted,Other,27439112,,,,,,,,,,,,,,,,,
Sema3e-Nrp1,Sema3e,Nrp1,Baccin,Correct,Secreted,Other,27439112,,,,,,,,,,,,,,,,,
Sema3e-Plxnd1,Sema3e,Plxnd1,Ramilowski,Correct,Secreted,Other,15550623,,,,,,,,,,,,,,,,,
Sema3f-Nrp1,Sema3f,Nrp1,Ramilowski,Correct,Secreted,Other,9883722,,,,,,,,,,,,,,,,,
Sema3f-Nrp2,Sema3f,Nrp2,Ramilowski,Correct,Secreted,Other,"15721238, 9883722",,,,,,,,,,,,,,,,,
Sema3g-Nrp2,Sema3g,Nrp2,Ramilowski,Correct,Secreted,Other,27439112,,,,,,,,,,,,,,,,,
Sema4a-Plxnd1,Sema4a,Plxnd1,Ramilowski,Correct,Membrane,Other,17318185,,,,,,,,,,,,,,,,,
Sema4d-Cd72,Sema4d,Cd72,Ramilowski,Correct,Membrane,Other,"11114375, 12882840",TRUE,11114375,"Look at the full paper, at the discussion; Sema4d=CD100",,,,,,,,,,,,,,
Sema4d-Met&Plxnb1,Sema4d,Met&Plxnb1,Baccin,Correct,Membrane,Other,22189792,,,,,,,,,,,,,,,,,
Sema4d-Plxnb2,Sema4d,Plxnb2,Ramilowski,Correct,Membrane,Other,15330859,,,,,,,,,,,,,,,,,
Sema5a-Met&Plxnb3,Sema5a,Met&Plxnb3,Baccin,Correct,Membrane,Other,15218527,,,,,,,,,,,,,,,,,
Sema5a-Plxnb3,Sema5a,Plxnb3,Ramilowski,Correct,Membrane,Other,15218527,,,,,,,,,,,,,,,,,
Sema7a-Plxnc1,Sema7a,Plxnc1,Ramilowski,Correct,Membrane,Other,1.052.099.510.520.990,,,,,,,,,,,,,,,,,
Serpina1a-Lrp1,Serpina1a,Lrp1,Ramilowski,Correct,ECM,Other,862.645.615.131.125,,,,,,,,,,,,,,,,,
Serpine1-Lrp1,Serpine1,Lrp1,Ramilowski,Correct,ECM,Other,1.500.157.915.001.570,,,,,,,,,,,,,,,,,
Serpine2-Lrp1,Serpine2,Lrp1,Ramilowski,Correct,ECM,Other,14596620,,,,,,,,,,,,,,,,,
Serping1-Lrp1,Serping1,Lrp1,Ramilowski,Correct,ECM,Other,9388254,,,,,,,,,,,,,,,,,
Serping1-Selp,Serping1,Selp,Ramilowski,Correct,ECM,Other,14568956,,,,,,,,,,,,,,,,,
Sfrp1-Fzd6,Sfrp1,Fzd6,Ramilowski,Correct,Secreted,Other,10347172,,,,,,,,,,,,,,,,,
Sftpa1-Cd93,Sftpa1,Cd93,Ramilowski,Correct,ECM,Other,9476117,,,,,,,,,,,,,,,,,
Sftpa1-Tlr2,Sftpa1,Tlr2,Ramilowski,Correct,ECM,Other,11724772,,,,,,,,,,,,,,,,,
Siglec1-Spn,Siglec1,Spn,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Sirpa-Cd47,Sirpa,Cd47,Baccin,Correct,Membrane,Other,19144521,TRUE,29777034,,,,,,,,,,,,,,,
Slit2-Gpc1,Slit2,Gpc1,Ramilowski,Correct,Secreted,Other,"10364234,11375980, 10364234",,,,,,,,,,,,,,,,,
Slit2-Robo2,Slit2,Robo2,Ramilowski,Correct,Secreted,Other,1.513.049.510.102.260,,,,,,,,,,,,,,,,,
Slit2-Robo4,Slit2,Robo4,Ramilowski,Correct,Secreted,Other,15894287,,,,,,,,,,,,,,,,,
Slit3-Robo2,Slit3,Robo2,Ramilowski,Correct,Secreted,Other,11754167,,,,,,,,,,,,,,,,,
Slpi-Plscr1,Slpi,Plscr1,Baccin,Correct,ECM,Other,19333378,,,,,,,,,,,,,,,,,
Slpi-Plscr4,Slpi,Plscr4,Baccin,Correct,ECM,Other,19333378,,,,,,,,,,,,,,,,,
Spn-Siglec1,Spn,Siglec1,Baccin,Correct,Membrane,Other,mmu04514,,,,,,,,,,,,,,,,,
Spp1-Cd44,Spp1,Cd44,Ramilowski,Correct,ECM,Other,"10657301,10657301, 12377945",,,,,,,,,,,,,,,,,
Spp1-Itga4&Itgb1,Spp1,Itga4&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itga4&Itgb7,Spp1,Itga4&Itgb7,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itga5&Itgb1,Spp1,Itga5&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itga8&Itgb1,Spp1,Itga8&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itga9&Itgb1,Spp1,Itga9&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itgav&Itgb1,Spp1,Itgav&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itgav&Itgb3,Spp1,Itgav&Itgb3,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itgav&Itgb5,Spp1,Itgav&Itgb5,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Spp1-Itgav&Itgb6,Spp1,Itgav&Itgb6,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Tfpi-Lrp1,Tfpi,Lrp1,Ramilowski,Correct,Secreted,Other,8824219,,,,,,,,,,,,,,,,,
Tfpi-Vldlr,Tfpi,Vldlr,Ramilowski,Correct,Secreted,Other,11278667,,,,,,,,,,,,,,,,,
Tgfa-Egfr,Tgfa,Egfr,Ramilowski,Correct,Both,GrowthFactor,"3018723,,12297049",,,,,,,,,,,,,,,,,
Tgfb1-Acvrl1,Tgfb1,Acvrl1,Ramilowski,Correct,Secreted,Cytokine,1.071.699.310.716.990,,,,,,,,,,,,,,,,,
Tgfb1-Cxcr4,Tgfb1,Cxcr4,Baccin,Correct,Secreted,Cytokine,27314628,,,,,,,,,,,,,,,,,
Tgfb1-Eng,Tgfb1,Eng,Ramilowski,Correct,Secreted,Cytokine,12015308,,,,,,,,,,,,,,,,,
Tgfb1-Itg8&Itgb1,Tgfb1,Itg8&Itgb1,Baccin,Correct,Secreted,Cytokine,12415008,,,,,,,,,,,,,,,,,
Tgfb1-Itgav&Itgb1,Tgfb1,Itgav&Itgb1,Baccin,Correct,Secreted,Cytokine,16258727,,,,,,,,,,,,,,,,,
Tgfb1-Itgav&Itgb3,Tgfb1,Itgav&Itgb3,Baccin,Correct,Secreted,Cytokine,27761847,,,,,,,,,,,,,,,,,
Tgfb1-Itgav&Itgb5,Tgfb1,Itgav&Itgb5,Baccin,Correct,Secreted,Cytokine,16258727,,,,,,,,,,,,,,,,,
Tgfb1-Itgav&Itgb6,Tgfb1,Itgav&Itgb6,Baccin,Correct,Secreted,Cytokine,16258727,,,,,,,,,,,,,,,,,
Tgfb1-Itgav&Itgb8,Tgfb1,Itgav&Itgb8,Baccin,Correct,Secreted,Cytokine,16258727,,,,,,,,,,,,,,,,,
Tgfb1-Sdc2,Tgfb1,Sdc2,Ramilowski,Correct,Secreted,Cytokine,14976204,,,,,,,,,,,,,,,,,
Tgfb1-Tgfbr1,Tgfb1,Tgfbr1,Ramilowski,Correct,Secreted,Cytokine,"12809600, 8235612",,,,,,,,,,,,,,,,,
Tgfb1-Tgfbr2,Tgfb1,Tgfbr2,Ramilowski,Correct,Secreted,Cytokine,"12809600, 10716993,7935686",,,,,,,,,,,,,,,,,
Tgfb1-Tgfbr3,Tgfb1,Tgfbr3,Ramilowski,Correct,Secreted,Cytokine,7935686,,,,,,,,,,,,,,,,,
Tgfb2-Eng,Tgfb2,Eng,Ramilowski,Correct,Secreted,Cytokine,12015308,,,,,,,,,,,,,,,,,
Tgfb2-Tgfbr1,Tgfb2,Tgfbr1,Ramilowski,Correct,Secreted,Cytokine,"12809600, 11157750",,,,,,,,,,,,,,,,,
Tgfb2-Tgfbr2,Tgfb2,Tgfbr2,Ramilowski,Correct,Secreted,Cytokine,"12809600,8106553, 11157754",,,,,,,,,,,,,,,,,
Tgfb2-Tgfbr3,Tgfb2,Tgfbr3,Ramilowski,Correct,Secreted,Cytokine,"12809600, 11157750",,,,,,,,,,,,,,,,,
Tgfb3-Eng,Tgfb3,Eng,Ramilowski,Correct,Secreted,Cytokine,9872992,,,,,,,,,,,,,,,,,
Tgfb3-Tgfbr1,Tgfb3,Tgfbr1,Ramilowski,Correct,Secreted,Cytokine,"11850637, 12060054, 12607775",,,,,,,,,,,,,,,,,
Tgfb3-Tgfbr2,Tgfb3,Tgfbr2,Ramilowski,Correct,Secreted,Cytokine,"11850637,11850637, 11382746, 12729750, 8106553",,,,,,,,,,,,,,,,,
Tgfb3-Tgfbr3,Tgfb3,Tgfbr3,Ramilowski,Correct,Secreted,Cytokine,11382746,,,,,,,,,,,,,,,,,
Tgm2-Itgb1,Tgm2,Itgb1,Baccin,Correct,ECM,Other,25215932,,,,,,,,,,,,,,,,,
Tgm2-Itgb3,Tgm2,Itgb3,Baccin,Correct,ECM,Other,19643138,,,,,,,,,,,,,,,,,
Thbs-Itga2b&Itgb3,Thbs,Itga2b&Itgb3,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Thbs-Itga6&Itgb1,Thbs,Itga6&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Thbs1-Calr&Lrp1,Thbs1,Calr&Lrp1,Baccin,Correct,ECM,Other,18653767,,,,,,,,,,,,,,,,,
Thbs1-Cd36,Thbs1,Cd36,Ramilowski,Correct,ECM,Other,"1379600,10772961, 10487979",,,,,,,,,,,,,,,,,
Thbs1-Cd47,Thbs1,Cd47,Ramilowski,Correct,ECM,Other,"11980922,9169439, 8550562, 10397731",,,,,,,,,,,,,,,,,
Thbs1-Lrp1,Thbs1,Lrp1,Ramilowski,Correct,ECM,Other,"9045712, 14991768",,,,,,,,,,,,,,,,,
Thbs1-Ptprj,Thbs1,Ptprj,Baccin,Correct,ECM,Other,22308318,,,,,,,,,,,,,,,,,
Thbs1-Sdc1,Thbs1,Sdc1,Ramilowski,Correct,ECM,Other,11257118,,,,,,,,,,,,,,,,,
Thbs1-Sdc4,Thbs1,Sdc4,Baccin,Correct,ECM,Other,17879962,,,,,,,,,,,,,,,,,
Thbs1-Tnfrsf11b,Thbs1,Tnfrsf11b,Ramilowski,Correct,ECM,Other,15799029,,,,,,,,,,,,,,,,,
Thbs1|Thbs2-Itga4&Itgb1,Thbs1|Thbs2,Itga4&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Thbs2-Cd47,Thbs2,Cd47,Ramilowski,Correct,ECM,Other,8550562,,,,,,,,,,,,,,,,,
Thbs2-Notch3,Thbs2,Notch3,Ramilowski,Correct,ECM,Other,19147503,,,,,,,,,,,,,,,,,
Thbs|Thbs1|Thbs2-Itga3&Itgb1,Thbs|Thbs1|Thbs2,Itga3&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Thbs|Thbs2-Itga2&Itgb1,Thbs|Thbs2,Itga2&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Thbs|Thbs5-Itga5&Itgb1,Thbs|Thbs5,Itga5&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Thbs|Thbs5-Itgav&Itgb3,Thbs|Thbs5,Itgav&Itgb3,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Timp1-Cd63,Timp1,Cd63,Ramilowski,Correct,ECM,Cytokine,16917503,,,,,,,,,,,,,,,,,
Timp3-Kdr,Timp3,Kdr,Ramilowski,Correct,ECM,Other,12652295,,,,,,,,,,,,,,,,,
Tnc-Egfr,Tnc,Egfr,Ramilowski,Correct,ECM,Other,11470832,,,,,,,,,,,,,,,,,
Tnc-Itga8&Itgb1,Tnc,Itga8&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Tnc-Itga9&Itgb1,Tnc,Itga9&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Tnc-Itgav&Itgb3,Tnc,Itgav&Itgb3,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Tnc-Itgav&Itgb6,Tnc,Itgav&Itgb6,Baccin,Correct,ECM,Other,23958855,,,,,,,,,,,,,,,,,
Tnc-Ptprz1,Tnc,Ptprz1,Baccin,Correct,ECM,Other,20689858,,,,,,,,,,,,,,,,,
Tnf-Ltbr,Tnf,Ltbr,Baccin,Correct,Both,Cytokine,24636534,,,,,,,,,,,,,,,,,
Tnf-Tnfrsf1a,Tnf,Tnfrsf1a,Ramilowski,Correct,Both,Cytokine,"7852363,,10634209, 14743216, 19084540",,,,,,,,,,,,,,,,,
Tnf-Tnfrsf1b,Tnf,Tnfrsf1b,Ramilowski,Correct,Both,Cytokine,"2158863,,7664431, 2158863, 19084540",,,,,,,,,,,,,,,,,
Tnf-Tnfrsf21,Tnf,Tnfrsf21,Ramilowski,Correct,Both,Cytokine,9714541,,,,,,,,,,,,,,,,,
Tnfrsf14-Btla,Tnfrsf14,Btla,Ramilowski,Correct,Membrane,Other,24205057,TRUE,15568026,Tnfrsf14=HVEM,,,,,,,,,,,,,,
Tnfrsf9-Tnfsf9,Tnfrsf9,Tnfsf9,Ramilowski,Correct,Membrane,Other,28789924,,,,,,,,,,,,,,,,,
Tnfsf11-Tnfrsf11b,Tnfsf11,Tnfrsf11b,Ramilowski,Correct,Both,Cytokine,"9568710, 11733492,12221720, 9520411",,,,,,,,,,,,,,,,,
Tnfsf12-Tnfrsf12a,Tnfsf12,Tnfrsf12a,Ramilowski,Correct,Both,Cytokine,"12787562,,11728344, 12529173",,,,,,,,,,,,,,,,,
Tnfsf13b-Tnfrsf13b,Tnfsf13b,Tnfrsf13b,Ramilowski,Correct,Both,Cytokine,"10956646,,10801128",,,,,,,,,,,,,,,,,
Tnfsf13b-Tnfrsf13c,Tnfsf13b,Tnfrsf13c,Ramilowski,Correct,Both,Cytokine,"15851487,,12721620, 11509692",,,,,,,,,,,,,,,,,
Tnfsf14-Ltbr,Tnfsf14,Ltbr,Ramilowski,Correct,Secreted,Cytokine,"10799510,,10318773, 10799510, 9462508",,,,,,,,,,,,,,,,,
Tnfsf14-Tnfrsf14,Tnfsf14,Tnfrsf14,Ramilowski,Correct,Secreted,Cytokine,"10894944,,11390428, 9462508",,,,,,,,,,,,,,,,,
Tnfsf9-Tnfrsf9,Tnfsf9,Tnfrsf9,Ramilowski,Correct,Membrane,Cytokine,"8088337,,13130507, 9045669, 8088337",,,,,,,,,,,,,,,,,
Vcam1-Itga4&Itgb1,Vcam1,Itga4&Itgb1,Baccin,Correct,Membrane,Other,16988024,,,,,,,,,,,,,,,,,
Vcam1-Itga4&Itgb7,Vcam1,Itga4&Itgb7,Baccin,Correct,Membrane,Other,16988024,,,,,,,,,,,,,,,,,
Vcam1-Itga9&Itgb1,Vcam1,Itga9&Itgb1,Baccin,Correct,Membrane,Other,16988024,,,,,,,,,,,,,,,,,
Vcam1-ItgaD&Itgb2,Vcam1,ItgaD&Itgb2,Baccin,Correct,Membrane,Other,16988024,,,,,,,,,,,,,,,,,
Vcan-CD44,Vcan,CD44,Baccin,Correct,ECM,Other,16045811,,,,,,,,,,,,,,,,,
Vcan-Egfr,Vcan,Egfr,Ramilowski,Correct,ECM,Other,23449934,,,,,,,,,,,,,,,,,
Vcan-Sell,Vcan,Sell,Baccin,Correct,ECM,Other,16148216,,,,,,,,,,,,,,,,,
Vcan-Selp,Vcan,Selp,Ramilowski,Correct,ECM,Other,10950950,,,,,,,,,,,,,,,,,
Vcan-Tlr2,Vcan,Tlr2,Ramilowski,Correct,ECM,Other,19608024,,,,,,,,,,,,,,,,,
Vegfa-Flt1,Vegfa,Flt1,Ramilowski,Correct,Secreted,Cytokine,"8621427, 15637071,,8621427, 17051153, 9393862",,,,,,,,,,,,,,,,,
Vegfa-Kdr,Vegfa,Kdr,Ramilowski,Correct,Secreted,Cytokine,"8621427, 15637071,,8621427, 17318185",,,,,,,,,,,,,,,,,
Vegfa-Nrp1,Vegfa,Nrp1,Ramilowski,Correct,Secreted,Cytokine,"11986311, 15637071,11986311, 10409677, 9529250, 17222790, 16763549",,,,,,,,,,,,,,,,,
Vegfa-Nrp2,Vegfa,Nrp2,Ramilowski,Correct,Secreted,Cytokine,10748121,,,,,,,,,,,,,,,,,
Vegfb-Flt1,Vegfb,Flt1,Ramilowski,Correct,Secreted,GrowthFactor,"97517301,,9751730",,,,,,,,,,,,,,,,,
Vegfb-Nrp1,Vegfb,Nrp1,Ramilowski,Correct,Secreted,GrowthFactor,40.967.710.409.677,,,,,,,,,,,,,,,,,
Vegfc-Flt4,Vegfc,Flt4,Ramilowski,Correct,Secreted,GrowthFactor,"12881528,,8700872, 16530705",,,,,,,,,,,,,,,,,
Vegfc-Kdr,Vegfc,Kdr,Ramilowski,Correct,Secreted,GrowthFactor,"8612600, 11332691,,11332691",,,,,,,,,,,,,,,,,
Vegfc-Nrp2,Vegfc,Nrp2,Ramilowski,Correct,Secreted,GrowthFactor,8612600,,,,,,,,,,,,,,,,,
Vegfc|Vegfd-Itga9&Itgb1,Vegfc|Vegfd,Itga9&Itgb1,Baccin,Correct,Secreted,Other,16988024,,,,,,,,,,,,,,,,,
Vtn-Itga2b&Itgb3,Vtn,Itga2b&Itgb3,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Vtn-Itga8&Itgb1,Vtn,Itga8&Itgb1,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Vtn-Itgad&Itgb2,Vtn,Itgad&Itgb2,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Vtn-Itgav&Itgb3,Vtn,Itgav&Itgb3,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Vtn-Itgav&Itgb5,Vtn,Itgav&Itgb5,Baccin,Correct,ECM,Other,16988024,,,,,,,,,,,,,,,,,
Vwf-Itga2b&Itgb3,Vwf,Itga2b&Itgb3,Baccin,Correct,Secreted,Other,16988024,,,,,,,,,,,,,,,,,
Vwf-Itgav&Itgb3,Vwf,Itgav&Itgb3,Baccin,Correct,Secreted,Other,16988024,,,,,,,,,,,,,,,,,
Vwf-Tnfrsf11b,Vwf,Tnfrsf11b,Ramilowski,Correct,ECM,Other,15799029,,,,,,,,,,,,,,,,,
Wnt11-Fzd7,Wnt11,Fzd7,Ramilowski,Correct,Secreted,Other,10862746,,,,,,,,,,,,,,,,,
Wnt2-Fzd1,Wnt2,Fzd1,Ramilowski,Correct,Secreted,Cytokine,10557084,,,,,,,,,,,,,,,,,
Wnt2-Fzd5,Wnt2,Fzd5,Ramilowski,Correct,Secreted,Cytokine,24032637,,,,,,,,,,,,,,,,,
Wnt2-Fzd9,Wnt2,Fzd9,Ramilowski,Correct,Secreted,Cytokine,12138115,,,,,,,,,,,,,,,,,
Wnt3-Fzd1,Wnt3,Fzd1,Ramilowski,Correct,Secreted,Other,10557084,,,,,,,,,,,,,,,,,
Wnt3-Fzd7,Wnt3,Fzd7,Ramilowski,Correct,Secreted,Other,24032637,,,,,,,,,,,,,,,,,
Wnt3-Lrp6,Wnt3,Lrp6,Ramilowski,Correct,Secreted,Other,18528331,,,,,,,,,,,,,,,,,
Wnt3-Ryk,Wnt3,Ryk,Ramilowski,Correct,Secreted,Other,15454084,,,,,,,,,,,,,,,,,
Wnt4-Fzd2,Wnt4,Fzd2,Ramilowski,Correct,Secreted,Other,12325120,,,,,,,,,,,,,,,,,
Wnt4-Fzd6,Wnt4,Fzd6,Ramilowski,Correct,Secreted,Other,"15265686,21541287, 15265686,15265686",,,,,,,,,,,,,,,,,
Wnt5a-Fzd1,Wnt5a,Fzd1,Ramilowski,Correct,Secreted,Cytokine,10557084,,,,,,,,,,,,,,,,,
Wnt5a-Fzd2,Wnt5a,Fzd2,Ramilowski,Correct,Secreted,Cytokine,9389482,,,,,,,,,,,,,,,,,
Wnt5a-Fzd4,Wnt5a,Fzd4,Ramilowski,Correct,Secreted,Cytokine,10990458,,,,,,,,,,,,,,,,,
Wnt5a-Fzd5,Wnt5a,Fzd5,Ramilowski,Correct,Secreted,Cytokine,9054360,,,,,,,,,,,,,,,,,
Wnt5a-Fzd6,Wnt5a,Fzd6,Ramilowski,Correct,Secreted,Cytokine,21665003,,,,,,,,,,,,,,,,,
Wnt5a-Fzd7,Wnt5a,Fzd7,Ramilowski,Correct,Secreted,Cytokine,10990458,,,,,,,,,,,,,,,,,
Wnt5a-Lpr5,Wnt5a,Lpr5,Baccin,Correct,Secreted,Cytokine,28143772,,,,,,,,,,,,,,,,,
Wnt5a-Lrp5,Wnt5a,Lrp5,Ramilowski,Correct,Secreted,Cytokine,19056682,,,,,,,,,,,,,,,,,
Wnt5a-Lrp6,Wnt5a,Lrp6,Baccin,Correct,Secreted,Cytokine,28143772,,,,,,,,,,,,,,,,,
Wnt5a-Ryk,Wnt5a,Ryk,Ramilowski,Correct,Secreted,Cytokine,15598975,,,,,,,,,,,,,,,,,
Adam10-Axl,Adam10,Axl,Ramilowski,Incorrect,Membrane,Other,"16227584, 7822279",,,,,,,,,,,,,,,,,
Adm-Calcrl,Adm,Calcrl,Ramilowski,Incorrect,Secreted,Other,96.207.979.620.797,,,,,,,,,,,,,,,,,
Adm-Gpr182,Adm,Gpr182,Ramilowski,Incorrect,Secreted,Other,7592696,,,,,,,,,,,,,,,,,
Adm-Ramp2,Adm,Ramp2,Ramilowski,Incorrect,Secreted,Other,9620797,,,,,,,,,,,,,,,,,
Adora1-Gnai2,Adora1,Gnai2,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
Angptl1-Tek,Angptl1,Tek,Ramilowski,Incorrect,Secreted,Other,10051567,,,,,,,,,,,,,,,,,
Anxa1-Egfr,Anxa1,Egfr,Ramilowski,Incorrect,Membrane,Other,15581623,,,,,,,,,,,,,,,,,
Aplp2-H2-D1,Aplp2,H2-D1,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
App-Cav1,App,Cav1,Ramilowski,Incorrect,Membrane,Other,9553108,,,,,,,,,,,,,,,,,
App-Cd74,App,Cd74,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
App-Fpr2,App,Fpr2,Ramilowski,Incorrect,Secreted,Other,"11316806, 11160457",,,,,,,,,,,,,,,,,
App-Gpc1,App,Gpc1,Ramilowski,Incorrect,Membrane,Other,15084524,,,,,,,,,,,,,,,,,
App-Lrp1,App,Lrp1,Ramilowski,Incorrect,Membrane,Other,"12212791, 7543026",,,,,,,,,,,,,,,,,
App-Ncstn,App,Ncstn,Ramilowski,Incorrect,Membrane,Other,10993067,,,,,,,,,,,,,,,,,
App-Tnfrsf21,App,Tnfrsf21,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
Axl-Adam10,Axl,Adam10,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
B2m-H2-M3,B2m,H2-M3,Ramilowski,Incorrect,Secreted,Other,11169396,,,,,,,,,,,,,,,,,
B2m-Hfe,B2m,Hfe,Ramilowski,Incorrect,Secreted,Other,10791995,,,,,,,,,,,,,,,,,
B2m-Pirb,B2m,Pirb,Ramilowski,Incorrect,Secreted,Other,12897781,,,,,,,,,,,,,,,,,
Btla-Cd79a,Btla,Cd79a,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
Calr-Lrp1,Calr,Lrp1,Ramilowski,Incorrect,ECM,Other,"14980518, 12821648",,,,,,,,,,,,,,,,,
Calr-Scarf1,Calr,Scarf1,Ramilowski,Incorrect,ECM,Other,1.537.141.915.371.410,,,,,,,,,,,,,,,,,
Camp-Fpr2,Camp,Fpr2,Ramilowski,Incorrect,Secreted,Other,110.154.471.101.544.000.000.000,,,,,,,,,,,,,,,,,
Cav1-App,Cav1,App,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
Ccl11-Ackr2,Ccl11,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,940.540.494.054.049.000.000,,,,,,,,,,,,,,,,,
Ccl11-Ackr4,Ccl11,Ackr4,Ramilowski,Incorrect,Secreted,Chemokine,107.341.041.073.410.000.000.000,,,,,,,,,,,,,,,,,
Ccl19-Ackr2,Ccl19,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,10706668,,,,,,,,,,,,,,,,,
Ccl19-Ackr4,Ccl19,Ackr4,Ramilowski,Incorrect,Secreted,Chemokine,2.334.144.710.706.660,,,,,,,,,,,,,,,,,
Ccl21a-Ackr2,Ccl21a,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,10706668,,,,,,,,,,,,,,,,,
Ccl21a-Ackr4,Ccl21a,Ackr4,Ramilowski,Incorrect,Secreted,Chemokine,2.334.144.710.706.660,,,,,,,,,,,,,,,,,
Ccl25-Ackr2,Ccl25,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,10706668,,,,,,,,,,,,,,,,,
Ccl25-Ackr4,Ccl25,Ackr4,Ramilowski,Incorrect,Secreted,Chemokine,2.334.144.710.706.660,,,,,,,,,,,,,,,,,
Ccl27a-Ackr2,Ccl27a,Ackr2,Ramilowski,Incorrect,Secreted,Cytokine,"11821900, 10725697, 10725696",,,,,,,,,,,,,,,,,
Ccl3-Ackr2,Ccl3,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,103.641.789.405.404,,,,,,,,,,,,,,,,,
Ccl4-Ackr2,Ccl4,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,9405404,,,,,,,,,,,,,,,,,
Ccl5-Ackr2,Ccl5,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,9405404,,,,,,,,,,,,,,,,,
Ccl5-Ackr4,Ccl5,Ackr4,Ramilowski,Incorrect,Secreted,Chemokine,9469451,,,,,,,,,,,,,,,,,
Ccl7-Ackr2,Ccl7,Ackr2,Ramilowski,Incorrect,Secreted,Chemokine,"9364936, 9405404",,,,,,,,,,,,,,,,,
Ccl7-Ackr4,Ccl7,Ackr4,Ramilowski,Incorrect,Secreted,Chemokine,10734104,,,,,,,,,,,,,,,,,
Cd24a-Selp,Cd24a,Selp,Ramilowski,Incorrect,Membrane,Other,91.290.469.129.046,,,,,,,,,,,,,,,,,
Cd40-Ltb,Cd40,Ltb,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
Cd55-Cr1l,Cd55,Cr1l,Ramilowski,Incorrect,Membrane,Other,11694537,,,,,,,,,,,,,,,,,
Cd74-App,Cd74,App,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
Cd79a-Btla,Cd79a,Btla,Ramilowski,Incorrect,Membrane,Other,NA,,,,,,,,,,,,,,,,,
Clcf1-Cntfr,Clcf1,Cntfr,Ramilowski,Incorrect,Secreted,Cytokine,"10966616,10966616, 11294841, 11285233",,,,,,,,,,,,,,,,,
Clcf1-Crlf1,Clcf1,Crlf1,Ramilowski,Incorrect,Secreted,Cytokine,1.096.661.610.966.610,,,,,,,,,,,,,,,,,
Col2a1-Tnfrsf10b,Col2a1,Tnfrsf10b,Ramilowski,Incorrect,ECM,Other,9811967,,,,,,,,,,,,,,,,,
Cp-Slc40a1,Cp,Slc40a1,Ramilowski,Incorrect,Secreted,Other,NA,,,,,,,,,,,,,,,,,
